,0,1,2,3,4,5,6,7,8,9,10,Date
138,10:53 PM,"49 
F","46 
F","90 
%",ENE,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
139,11:53 PM,"50 
F","47 
F","89 
%",ENE,"17 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-12
140,9:53 AM,"54 
F","51 
F","90 
%",NE,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
141,12:04 AM,"50 
F","47 
F","89 
%",ENE,"13 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain with Thunder,2018-05-13
142,12:53 AM,"49 
F","48 
F","97 
%",NNE,"12 
mph","0 
mph","29.4 
in","0.4 
in","0.0 
in",T-Storm,2018-05-13
143,1:15 AM,"50 
F","49 
F","96 
%",NNE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain,2018-05-13
144,1:31 AM,"49 
F","48 
F","97 
%",NE,"7 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain with Thunder,2018-05-13
145,1:53 AM,"49 
F","48 
F","97 
%",E,"8 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Thunder,2018-05-13
146,2:29 AM,"49 
F","48 
F","97 
%",NNE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
147,2:53 AM,"49 
F","48 
F","97 
%",NE,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
148,3:24 AM,"51 
F","49 
F","92 
%",SE,"15 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
149,3:53 AM,"51 
F","50 
F","96 
%",ESE,"5 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
150,4:53 AM,"52 
F","52 
F","100 
%",CALM,"0 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
151,5:44 AM,"52 
F","51 
F","97 
%",N,"8 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Light Rain,2018-05-13
152,5:53 AM,"52 
F","51 
F","97 
%",N,"7 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
153,6:12 AM,"52 
F","51 
F","97 
%",N,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
154,6:53 AM,"49 
F","48 
F","97 
%",NNE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
155,7:42 AM,"50 
F","49 
F","96 
%",NE,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
156,7:53 AM,"50 
F","49 
F","96 
%",NE,"12 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
157,8:53 AM,"51 
F","50 
F","96 
%",ENE,"9 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
158,12:31 AM,"49 
F","48 
F","97 
%",ENE,"13 
mph","0 
mph","29.4 
in","0.3 
in","0.0 
in",T-Storm,2018-05-13
159,10:15 AM,"54 
F","51 
F","90 
%",NE,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
160,10:53 AM,"57 
F","51 
F","81 
%",NNE,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
161,11:42 AM,"61 
F","53 
F","75 
%",ENE,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
162,11:53 AM,"61 
F","53 
F","75 
%",N,"5 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
163,12:53 PM,"64 
F","54 
F","70 
%",NE,"6 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
164,1:53 PM,"67 
F","55 
F","66 
%",VAR,"3 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
165,2:53 PM,"67 
F","54 
F","63 
%",ENE,"10 
mph","0 
mph","29.4 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
166,3:53 PM,"64 
F","53 
F","67 
%",E,"8 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
167,4:53 PM,"62 
F","52 
F","70 
%",ESE,"6 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
168,5:53 PM,"59 
F","51 
F","75 
%",SE,"14 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
169,6:24 PM,"56 
F","50 
F","80 
%",ENE,"13 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
170,6:53 PM,"55 
F","49 
F","80 
%",ENE,"17 
mph","29 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
171,7:53 PM,"53 
F","49 
F","86 
%",E,"7 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
172,8:53 PM,"54 
F","49 
F","83 
%",E,"3 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
173,9:53 PM,"54 
F","49 
F","83 
%",NE,"6 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
174,10:53 PM,"55 
F","50 
F","83 
%",E,"3 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-13
175,11:53 PM,"55 
F","50 
F","83 
%",E,"6 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-13
176,3:53 PM,"86 
F","63 
F","46 
%",WSW,"14 
mph","23 
mph","29.2 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-14
177,12:53 AM,"56 
F","51 
F","84 
%",E,"3 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-14
178,2:53 AM,"55 
F","52 
F","89 
%",SSE,"8 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Mostly Cloudy,2018-05-14
179,3:53 AM,"57 
F","54 
F","89 
%",CALM,"0 
mph","0 
mph","29.2 
in","0.0 
in","0.0 
in",Cloudy,2018-05-14
180,4:53 AM,"55 
F","52 
F","89 
%",NE,"6 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-14
181,5:53 AM,"55 
F","52 
F","89 
%",ESE,"5 
mph","0 
mph","29.3 
in","0.0 
in","0.0 
in",Cloudy,2018-05-14
